LAST_SCRAPE_DATE: 01/23/2024
YEAR,MAKE,MODEL,SALE_PRICE,SALE_DATE,LISTING_TYPE
2018,PORSCHE,911 CARRERA 4S CABRIOLET,132000.0,2023-12-28,SOLD 
2015,PORSCHE,911 TARGA 4S 7-SPEED,120000.0,2023-12-28,SOLD 
1973,PORSCHE,RSR-STYLE  911E COUPE TWIN-PLUG 2.7L,90000.0,2023-12-28,SOLD 
1996,PORSCHE,911 TURBO,235000.0,2023-12-28,BID 
2011,PORSCHE,911 GT2 RS,577777.0,2023-12-28,BID 
1970,PORSCHE,2.4L-POWERED  911T COUPE,92500.0,2023-12-27,SOLD 
2019,PORSCHE,911 GT3 TOURING 6-SPEED,242000.0,2023-12-27,SOLD 
1995,PORSCHE,911 CARRERA CABRIOLET 6-SPEED,52000.0,2023-12-27,BID 
2022,PORSCHE,911 TURBO S COUPE,268000.0,2023-12-27,SOLD 
2014,PORSCHE,911 CARRERA CABRIOLET,44000.0,2023-12-27,SOLD 
0000,PORSCHE,TEA-TRAY SPOILER AND DECKLID FOR 911,1550.0,2023-12-27,SOLD 
2012,PORSCHE,911 TURBO S CABRIOLET,79997.0,2023-12-27,BID 
1987,PORSCHE,911 CARRERA COUPE G50,95911.0,2023-12-26,SOLD 
2009,PORSCHE,911 TURBO CABRIOLET 6-SPEED,106500.0,2023-12-26,SOLD 
0000,PORSCHE,16×6″ AND 16×8″ CUP DESIGN WHEELS FOR,1200.0,2023-12-26,SOLD 
1991,PORSCHE,911 CARRERA 2 COUPE 5-SPEED,100000.0,2023-12-26,SOLD 
2009,PORSCHE,911 CARRERA 4 CABRIOLET,44500.0,2023-12-26,BID 
2014,PORSCHE,911 50TH ANNIVERSARY EDITION,148000.0,2023-12-26,SOLD 
2017,PORSCHE,911 CARRERA 4S COUPE,103000.0,2023-12-26,SOLD 
2019,PORSCHE,3,700-KILOMETER  911 SPEEDSTER,351000.0,2023-12-26,SOLD 
1989,PORSCHE,911 SPEEDSTER,220000.0,2023-12-26,BID 
2015,PORSCHE,911 TURBO S CABRIOLET,92000.0,2023-12-23,BID 
2001,PORSCHE,911 CARRERA 4 COUPE,18250.0,2023-12-23,BID 
2007,PORSCHE,911 CARRERA S COUPE 6-SPEED,37500.0,2023-12-23,SOLD 
2000,PORSCHE,911 CARRERA CABRIOLET 6-SPEED,13750.0,2023-12-23,SOLD 
1974,PORSCHE,911S COUPE SLANT NOSE CONVERSION,46000.0,2023-12-23,SOLD 
2018,PORSCHE,911 GT3 6-SPEED,206000.0,2023-12-23,BID 
0000,PORSCHE,MODIFIED 3.6L 930/63 FLAT-SIX ENGINE,24800.0,2023-12-23,SOLD 
1997,PORSCHE,911 CARRERA COUPE 6-SPEED,109000.0,2023-12-22,SOLD 
2006,PORSCHE,911 CARRERA S COUPE 6-SPEED,44000.0,2023-12-22,SOLD 
2003,PORSCHE,911 TURBO X50 COUPE 6-SPEED,82888.0,2023-12-22,SOLD 
2022,PORSCHE,LIGHT IVORY  911 GT3 6-SPEED,None,None,None
1977,PORSCHE,JAPANESE-MARKET  930 TURBO CARRERA 3.0,112000.0,2023-12-22,BID 
2000,PORSCHE,911 CARRERA COUPE,30250.0,2023-12-22,BID 
0000,PORSCHE,911 TOOL KIT,1700.0,2023-12-22,SOLD 
1997,PORSCHE,911 TURBO S,439000.0,2023-12-22,SOLD 
