YEAR,MAKE,MODEL,SALE_PRICE,SALE_DATE,LISTING_TYPE
2015,PORSCHE,911 TURBO S COUPE,116000.0,2024-01-02,SOLD 
2009,PORSCHE,CAYMAN S,35750.0,2024-01-02,SOLD 
2022,PORSCHE,718 CAYMAN GTS 4.0 6-SPEED,95000.0,2024-01-02,SOLD 
1970,PORSCHE,52-YEARS-OWNED  911T TARGA,55500.0,2024-01-02,SOLD 
1983,PORSCHE,911SC COUPE PROJECT,36750.0,2024-01-02,SOLD 
1996,PORSCHE,RUF-MODIFIED ROW  911 TURBO X50,199000.0,2024-01-02,BID 
0000,PORSCHE,18×8″ AND 18×10″ DYMAG CARBON-FIBER AND MAGNALIUM WHEELS FOR,7000.0,2023-12-30,SOLD 
1986,PORSCHE,944 TURBO,21600.0,2023-12-30,SOLD 
2003,PORSCHE,911 TURBO COUPE X50 6-SPEED,73000.0,2023-12-30,SOLD 
2005,PORSCHE,CAYENNE TURBO,9100.0,2023-12-29,SOLD 
0000,PORSCHE,15×6″ FUCHS WHEELS FOR,2350.0,2023-12-29,SOLD 
2012,PORSCHE,911 CARRERA S COUPE,54000.0,2023-12-29,BID 
0000,PORSCHE,WHALE-TAIL SPOILER FOR 911,14000.0,2023-12-29,SOLD 
1995,PORSCHE,911 CARRERA COUPE 6-SPEED,76500.0,2023-12-29,BID 
1969,PORSCHE,912 COUPE,42250.0,2023-12-29,SOLD 
2006,PORSCHE,911 CARRERA 4S CABRIOLET 6-SPEED,62501.0,2023-12-29,SOLD 
1958,PORSCHE,356A CABRIOLET W/HARDTOP,255000.0,2023-12-29,SOLD 
1987,PORSCHE,911 CARRERA COUPE G50,87411.0,2023-12-28,SOLD 
0000,PORSCHE,15×5.5“ FUCHS WHEELS FOR,5100.0,2023-12-28,SOLD 
1996,PORSCHE,911 CARRERA 4S 6-SPEED,118000.0,2023-12-28,BID 
0000,PORSCHE,911 TOOL KIT,1850.0,2023-12-28,SOLD 
2001,PORSCHE,911 TURBO COUPE 6-SPEED,93500.0,2023-12-28,BID 
2008,PORSCHE,911 TURBO COUPE,61500.0,2023-12-28,SOLD 
2012,PORSCHE,CAYENNE TURBO,51000.0,2023-12-28,SOLD 
1989,PORSCHE,928 S4 5-SPEED,31500.0,2023-12-28,SOLD 
2018,PORSCHE,911 CARRERA 4S CABRIOLET,132000.0,2023-12-28,SOLD 
1960,PORSCHE,356B CABRIOLET,250550.0,2023-12-28,SOLD 
1986,PORSCHE,944 TURBO,30000.0,2023-12-28,BID 
2005,PORSCHE,ORIGINAL-OWNER  CAYENNE TURBO,19000.0,2023-12-28,SOLD 
2015,PORSCHE,911 TARGA 4S 7-SPEED,120000.0,2023-12-28,SOLD 
1973,PORSCHE,RSR-STYLE  911E COUPE TWIN-PLUG 2.7L,90000.0,2023-12-28,SOLD 
1996,PORSCHE,911 TURBO,235000.0,2023-12-28,BID 
2011,PORSCHE,911 GT2 RS,577777.0,2023-12-28,BID 
1970,PORSCHE,2.4L-POWERED  911T COUPE,92500.0,2023-12-27,SOLD 
2004,PORSCHE,BOXSTER S 550 ANNIVERSARY EDITION 6-SPEED,18750.0,2023-12-27,SOLD 
0000,PORSCHE,986 SPORT SEATS,2000.0,2023-12-27,SOLD 
2015,PORSCHE,CAYMAN S,55000.0,2023-12-27,BID 
2019,PORSCHE,911 GT3 TOURING 6-SPEED,242000.0,2023-12-27,SOLD 
1988,PORSCHE,944S,28000.0,2023-12-27,SOLD 
1995,PORSCHE,911 CARRERA CABRIOLET 6-SPEED,52000.0,2023-12-27,BID 
2022,PORSCHE,911 TURBO S COUPE,268000.0,2023-12-27,SOLD 
2014,PORSCHE,911 CARRERA CABRIOLET,44000.0,2023-12-27,SOLD 
0000,PORSCHE,TEA-TRAY SPOILER AND DECKLID FOR 911,1550.0,2023-12-27,SOLD 
2012,PORSCHE,911 TURBO S CABRIOLET,79997.0,2023-12-27,BID 
0000,PORSCHE,14×5.5″ FUCHS WHEELS FOR,1850.0,2023-12-27,SOLD 
0000,PORSCHE,M28 V8 COFFEE TABLE,6500.0,2023-12-27,SOLD 
1987,PORSCHE,911 CARRERA COUPE G50,95911.0,2023-12-26,SOLD 
2009,PORSCHE,911 TURBO CABRIOLET 6-SPEED,106500.0,2023-12-26,SOLD 
2019,PORSCHE,PANAMERA TURBO,100000.0,2023-12-26,SOLD 
0000,PORSCHE,16×6″ AND 16×8″ CUP DESIGN WHEELS FOR,1200.0,2023-12-26,SOLD 
1991,PORSCHE,911 CARRERA 2 COUPE 5-SPEED,100000.0,2023-12-26,SOLD 
2013,PORSCHE,ORIGINAL-OWNER  BOXSTER S,39500.0,2023-12-26,SOLD 
1992,PORSCHE,ROW  968 COUPE 6-SPEED,66500.0,2023-12-26,SOLD 
2009,PORSCHE,911 CARRERA 4 CABRIOLET,44500.0,2023-12-26,BID 
2014,PORSCHE,911 50TH ANNIVERSARY EDITION,148000.0,2023-12-26,SOLD 
2017,PORSCHE,911 CARRERA 4S COUPE,103000.0,2023-12-26,SOLD 
2013,PORSCHE,ORIGINAL-OWNER  PANAMERA GTS,23250.0,2023-12-26,SOLD 
1976,PORSCHE,SUBARU-POWERED  914,12500.0,2023-12-26,SOLD 
2019,PORSCHE,3,700-KILOMETER  911 SPEEDSTER,351000.0,2023-12-26,SOLD 
1989,PORSCHE,911 SPEEDSTER,220000.0,2023-12-26,BID 
2015,PORSCHE,911 TURBO S CABRIOLET,92000.0,2023-12-23,BID 
2001,PORSCHE,911 CARRERA 4 COUPE,18250.0,2023-12-23,BID 
2007,PORSCHE,911 CARRERA S COUPE 6-SPEED,37500.0,2023-12-23,SOLD 
2015,PORSCHE,CAYENNE DIESEL,51500.0,2023-12-23,SOLD 
0000,,AROVA-PORSCHE 212 SKIBOB,5800.0,2023-12-23,SOLD 
2000,PORSCHE,911 CARRERA CABRIOLET 6-SPEED,13750.0,2023-12-23,SOLD 
